class     level  zone              n    p50_yld  p50_yld_clr  mean_yld  mean_rms  %clr  %boss  %tpk  %fled  %ext
bard      3      dragons_lair      100  0        0            0         0         0     0      0     0      0
bard      7      dragons_lair      100  2        0            3.3       5.9       0     28     100   0      0
bard      12     dragons_lair      100  4        0            4.8       7.2       0     63     100   0      0
cleric    3      dragons_lair      100  0        0            0         0         0     0      0     0      0
cleric    7      dragons_lair      100  3        0            3.3       5.3       0     11     100   0      0
cleric    12     dragons_lair      100  3        0            3.2       7         0     49     100   0      0
druid     3      dragons_lair      100  0        0            0         0         0     0      0     0      0
druid     7      dragons_lair      100  3        0            3.3       5.6       0     24     100   0      0
druid     12     dragons_lair      100  4        0            4.2       7.5       0     78     99    0      1
fighter   3      dragons_lair      100  0        0            0         0         0     0      0     0      0
fighter   7      dragons_lair      100  3        0            4.2       7         0     62     97    0      3
fighter   12     dragons_lair      100  4        0            4.4       8         0     99     100   0      0
mage      3      dragons_lair      100  0        0            0         0         0     0      0     0      0
mage      7      dragons_lair      100  4        0            4.8       5.4       0     16     99    0      1
mage      12     dragons_lair      100  6        0            5.9       7.4       0     74     100   0      0
paladin   3      dragons_lair      100  0        0            0         0         0     0      0     0      0
paladin   7      dragons_lair      100  3        0            3.9       7.1       0     68     99    0      1
paladin   12     dragons_lair      100  3        0            3.3       7.9       0     97     100   0      0
ranger    3      dragons_lair      100  0        0            0         0         0     0      0     0      0
ranger    7      dragons_lair      100  7        0            8.2       7.8       0     91     97    0      3
ranger    12     dragons_lair      100  7        0            7.5       8         0     100    100   0      0
rogue     3      dragons_lair      100  0        0            0         0         0     0      0     0      0
rogue     7      dragons_lair      100  4        0            5.2       6.3       0     54     96    0      4
rogue     12     dragons_lair      100  4        0            5.6       7.9       0     94     100   0      0
sorcerer  3      dragons_lair      100  0        0            0         0         0     0      0     0      0
sorcerer  7      dragons_lair      100  4        0            4.6       5.3       0     13     100   0      0
sorcerer  12     dragons_lair      100  4        0            4.8       7.4       0     71     100   0      0
warlock   3      dragons_lair      100  0        0            0         0         0     0      0     0      0
warlock   7      dragons_lair      100  3        0            3.6       6.1       0     28     98    0      2
warlock   12     dragons_lair      100  3        0            3.9       7.5       0     76     100   0      0
bard      3      forest_shadows    100  4        0            4.5       4.1       0     1      100   0      0
bard      7      forest_shadows    100  6        4            6.5       6         1     97     99    0      0
bard      12     forest_shadows    100  6        6            6         7         99    99     1     0      0
cleric    3      forest_shadows    100  4        0            5.1       4.6       0     0      100   0      0
cleric    7      forest_shadows    100  7        8            8.2       5.7       2     70     98    0      0
cleric    12     forest_shadows    100  7        8            8         6.8       90    90     10    0      0
druid     3      forest_shadows    100  5        0            6.4       5.1       0     16     100   0      0
druid     7      forest_shadows    100  8        7            9         6.9       86    100    14    0      0
druid     12     forest_shadows    100  7        7            7.5       7         100   100    0     0      0
fighter   3      forest_shadows    100  5        0            6         5.3       0     22     100   0      0
fighter   7      forest_shadows    100  5        5            6.4       7         100   100    0     0      0
fighter   12     forest_shadows    100  6        6            7         7         100   100    0     0      0
mage      3      forest_shadows    100  4        0            4.7       3.7       0     0      100   0      0
mage      7      forest_shadows    100  5        6            6.5       6.7       82    90     18    0      0
mage      12     forest_shadows    100  6        6            5.6       7         100   100    0     0      0
paladin   3      forest_shadows    100  6        0            6.5       5.8       0     84     100   0      0
paladin   7      forest_shadows    100  7        7            6.9       7         100   100    0     0      0
paladin   12     forest_shadows    100  6        6            7.1       7         100   100    0     0      0
ranger    3      forest_shadows    100  11       0            12.3      5.2       0     17     100   0      0
ranger    7      forest_shadows    100  15       15           15.7      7         100   100    0     0      0
ranger    12     forest_shadows    100  13       13           14.9      7         100   100    0     0      0
rogue     3      forest_shadows    100  5        0            6.3       5.7       0     63     100   0      0
rogue     7      forest_shadows    100  7        7            8.2       6.9       86    100    14    0      0
rogue     12     forest_shadows    100  6        6            6.5       7         100   100    0     0      0
sorcerer  3      forest_shadows    100  4        0            4.7       3.3       0     0      100   0      0
sorcerer  7      forest_shadows    100  6        6            6.6       6.6       67    88     33    0      0
sorcerer  12     forest_shadows    100  6        6            7.2       7         99    99     1     0      0
warlock   3      forest_shadows    100  4        0            4.2       4.1       0     0      100   0      0
warlock   7      forest_shadows    100  6        7            6.5       6.3       41    93     59    0      0
warlock   12     forest_shadows    100  5        5            5.9       7         100   100    0     0      0
bard      3      goblin_warrens    100  5        13           5.6       4.9       1     85     99    0      0
bard      7      goblin_warrens    100  6        6            6.2       6         100   100    0     0      0
bard      12     goblin_warrens    100  4        4            4.9       6         100   100    0     0      0
cleric    3      goblin_warrens    100  3        9            4.7       4.8       9     74     91    0      0
cleric    7      goblin_warrens    100  5        5            5.3       5.9       95    95     5     0      0
cleric    12     goblin_warrens    100  5        5            5.3       6         99    99     1     0      0
druid     3      goblin_warrens    100  3        4            4.1       5.6       70    94     30    0      0
druid     7      goblin_warrens    100  4        4            4.7       6         100   100    0     0      0
druid     12     goblin_warrens    100  4        4            5.2       6         100   100    0     0      0
fighter   3      goblin_warrens    100  5        5            5.8       5.6       64    96     36    0      0
fighter   7      goblin_warrens    100  4        4            5         6         100   100    0     0      0
fighter   12     goblin_warrens    100  4        4            4.9       6         100   100    0     0      0
mage      3      goblin_warrens    100  7        7            7.3       5.5       70    81     30    0      0
mage      7      goblin_warrens    100  7        7            8.7       6         99    99     1     0      0
mage      12     goblin_warrens    100  6        6            7.8       6         100   100    0     0      0
paladin   3      goblin_warrens    100  5        5            5.5       5.8       86    97     14    0      0
paladin   7      goblin_warrens    100  5        5            5.1       6         100   100    0     0      0
paladin   12     goblin_warrens    100  4        4            5         6         100   100    0     0      0
ranger    3      goblin_warrens    100  6        7            6.6       5.5       55    89     45    0      0
ranger    7      goblin_warrens    100  6        6            6.3       6         100   100    0     0      0
ranger    12     goblin_warrens    100  6        6            6.5       6         100   100    0     0      0
rogue     3      goblin_warrens    100  7        7            7.8       5.8       86    97     14    0      0
rogue     7      goblin_warrens    100  6        6            7.2       6         100   100    0     0      0
rogue     12     goblin_warrens    100  6        6            7.7       6         100   100    0     0      0
sorcerer  3      goblin_warrens    100  8        8            8         5.5       65    83     35    0      0
sorcerer  7      goblin_warrens    100  8        8            8.3       6         98    98     2     0      0
sorcerer  12     goblin_warrens    100  6        6            7.1       6         100   100    0     0      0
warlock   3      goblin_warrens    100  4        5            4.9       5.4       56    81     44    0      0
warlock   7      goblin_warrens    100  5        5            5.8       6         100   100    0     0      0
warlock   12     goblin_warrens    100  5        5            5.9       6         100   100    0     0      0
bard      3      manor_blackspire  100  4        0            4.5       4.3       0     1      100   0      0
bard      7      manor_blackspire  100  6        0            6         6         0     64     100   0      0
bard      12     manor_blackspire  100  4        0            5         6         0     76     100   0      0
cleric    3      manor_blackspire  100  3        0            3.2       4.2       0     1      100   0      0
