class     level  zone              n    p50_yld  p50_yld_clr  mean_yld  mean_rms  %clr  %boss  %tpk  %fled  %ext
bard      3      dragons_lair      100  0        0            0         0         0     0      0     0      0
bard      7      dragons_lair      100  3        0            3.8       6.1       0     31     98    0      2
bard      12     dragons_lair      100  3        0            4.1       7.5       0     75     98    0      2
cleric    3      dragons_lair      100  0        0            0         0         0     0      0     0      0
cleric    7      dragons_lair      100  3        0            3.6       5.5       0     16     99    0      1
cleric    12     dragons_lair      100  3        0            3.2       6.9       0     47     100   0      0
druid     3      dragons_lair      100  0        0            0         0         0     0      0     0      0
druid     7      dragons_lair      100  3        0            3.3       6.3       0     36     98    0      2
druid     12     dragons_lair      100  4        0            4.3       7.5       0     78     99    0      1
fighter   3      dragons_lair      100  0        0            0         0         0     0      0     0      0
fighter   7      dragons_lair      100  3        0            4.3       7.2       0     67     98    0      2
fighter   12     dragons_lair      100  4        0            4.7       8         0     100    100   0      0
mage      3      dragons_lair      100  0        0            0         0         0     0      0     0      0
mage      7      dragons_lair      100  5        0            5.1       5.6       0     22     100   0      0
mage      12     dragons_lair      100  5        0            5         7.4       0     72     99    0      1
paladin   3      dragons_lair      100  0        0            0         0         0     0      0     0      0
paladin   7      dragons_lair      100  4        0            4         6.9       0     62     95    0      5
paladin   12     dragons_lair      100  4        0            4.2       7.9       0     97     100   0      0
ranger    3      dragons_lair      100  0        0            0         0         0     0      0     0      0
ranger    7      dragons_lair      100  9        0            8.5       7.7       0     86     95    0      5
ranger    12     dragons_lair      100  7        0            7.5       8         0     100    100   0      0
rogue     3      dragons_lair      100  0        0            0         0         0     0      0     0      0
rogue     7      dragons_lair      100  4        0            5.5       6.8       0     54     92    0      8
rogue     12     dragons_lair      100  6        0            6.5       7.9       0     94     100   0      0
sorcerer  3      dragons_lair      100  0        0            0         0         0     0      0     0      0
sorcerer  7      dragons_lair      100  3        0            3.9       5.7       0     16     99    0      1
sorcerer  12     dragons_lair      100  5        0            5.2       7.2       0     66     100   0      0
warlock   3      dragons_lair      100  0        0            0         0         0     0      0     0      0
warlock   7      dragons_lair      100  3        0            3.7       5.6       0     14     99    0      1
warlock   12     dragons_lair      100  4        0            4.6       7.5       0     74     100   0      0
bard      3      forest_shadows    100  4        0            4.9       4.1       0     1      100   0      0
bard      7      forest_shadows    100  6        0            6.1       6         0     99     100   0      0
bard      12     forest_shadows    100  6        6            6.6       7         100   100    0     0      0
cleric    3      forest_shadows    100  4        0            5.1       4.6       0     1      100   0      0
cleric    7      forest_shadows    100  7        12           7.4       5.6       2     71     98    0      0
cleric    12     forest_shadows    100  8        9            8.5       6.8       88    88     12    0      0
druid     3      forest_shadows    100  5        0            6.3       5.2       0     17     100   0      0
druid     7      forest_shadows    100  8        8            8.7       6.9       92    99     8     0      0
druid     12     forest_shadows    100  7        7            8.1       7         100   100    0     0      0
fighter   3      forest_shadows    100  4        0            5         5.3       0     37     100   0      0
fighter   7      forest_shadows    100  6        6            6.9       7         100   100    0     0      0
fighter   12     forest_shadows    100  6        6            6.9       7         100   100    0     0      0
mage      3      forest_shadows    100  4        0            5         3.8       0     0      100   0      0
mage      7      forest_shadows    100  6        6            6.9       6.8       88    95     12    0      0
mage      12     forest_shadows    100  5        5            6.6       7         100   100    0     0      0
paladin   3      forest_shadows    100  6        0            7         5.8       0     78     100   0      0
paladin   7      forest_shadows    100  6        6            6.7       7         100   100    0     0      0
paladin   12     forest_shadows    100  7        7            7.5       7         100   100    0     0      0
ranger    3      forest_shadows    100  10       0            12.9      5.2       0     26     100   0      0
ranger    7      forest_shadows    100  13       13           15.1      7         100   100    0     0      0
ranger    12     forest_shadows    100  14       14           15.6      7         100   100    0     0      0
rogue     3      forest_shadows    100  7        0            7.1       5.8       0     73     100   0      0
rogue     7      forest_shadows    100  7        7            7.1       6.9       87    100    13    0      0
rogue     12     forest_shadows    100  8        8            8.4       7         99    99     1     0      0
sorcerer  3      forest_shadows    100  4        0            4.9       3.3       0     0      100   0      0
sorcerer  7      forest_shadows    100  5        5            5.5       6.6       67    93     33    0      0
sorcerer  12     forest_shadows    100  6        6            6.6       7         98    98     2     0      0
warlock   3      forest_shadows    100  4        0            4.5       4.1       0     1      100   0      0
warlock   7      forest_shadows    100  5        7            6.6       6.3       36    96     64    0      0
warlock   12     forest_shadows    100  6        6            7         7         100   100    0     0      0
bard      3      goblin_warrens    100  4        8            4.7       4.8       1     81     99    0      0
bard      7      goblin_warrens    100  4        4            5.1       6         100   100    0     0      0
bard      12     goblin_warrens    100  4        4            5.2       6         100   100    0     0      0
cleric    3      goblin_warrens    100  4        4            4.3       4.9       6     79     94    0      0
cleric    7      goblin_warrens    100  4        4            4.9       5.9       95    95     5     0      0
cleric    12     goblin_warrens    100  4        4            4.7       6         99    99     1     0      0
druid     3      goblin_warrens    100  4        4            4.4       5.6       69    92     31    0      0
druid     7      goblin_warrens    100  4        4            4.9       6         100   100    0     0      0
druid     12     goblin_warrens    100  4        4            5         6         100   100    0     0      0
fighter   3      goblin_warrens    100  5        4            5.5       5.6       64    98     36    0      0
fighter   7      goblin_warrens    100  4        4            5.5       6         100   100    0     0      0
fighter   12     goblin_warrens    100  4        4            5.6       6         100   100    0     0      0
mage      3      goblin_warrens    100  6        7            7.6       5.3       61    73     39    0      0
mage      7      goblin_warrens    100  6        6            7.4       6         100   100    0     0      0
mage      12     goblin_warrens    100  7        7            7.9       6         100   100    0     0      0
paladin   3      goblin_warrens    100  5        6            5.6       5.9       92    100    8     0      0
paladin   7      goblin_warrens    100  4        4            5.5       6         100   100    0     0      0
paladin   12     goblin_warrens    100  4        4            5         6         100   100    0     0      0
ranger    3      goblin_warrens    100  6        7            6.2       5.5       54    94     46    0      0
ranger    7      goblin_warrens    100  5        5            6.4       6         100   100    0     0      0
ranger    12     goblin_warrens    100  5        5            5.6       6         100   100    0     0      0
rogue     3      goblin_warrens    100  6        6            6.9       5.8       86    97     14    0      0
rogue     7      goblin_warrens    100  7        7            7.1       6         100   100    0     0      0
rogue     12     goblin_warrens    100  7        7            7.1       6         100   100    0     0      0
sorcerer  3      goblin_warrens    100  6        7            6.7       5.6       72    88     28    0      0
sorcerer  7      goblin_warrens    100  6        6            7         6         99    99     1     0      0
sorcerer  12     goblin_warrens    100  7        7            6.9       6         100   100    0     0      0
warlock   3      goblin_warrens    100  3        4            4.4       5.5       64    86     36    0      0
warlock   7      goblin_warrens    100  4        4            4.9       6         100   100    0     0      0
warlock   12     goblin_warrens    100  4        4            5.1       6         100   100    0     0      0
bard      3      manor_blackspire  100  4        0            4.7       4.3       0     2      100   0      0
bard      7      manor_blackspire  100  5        0            5.2       5.9       0     53     100   0      0
bard      12     manor_blackspire  100  4        5            5.4       6         1     75     99    0      0
cleric    3      manor_blackspire  100  3        0            3.7       4.6       0     1      100   0      0
cleric    7      manor_blackspire  100  4        0            4.7       5.8       0     28     100   0      0
cleric    12     manor_blackspire  100  4        7            4.7       6.2       16    56     84    0      0
druid     3      manor_blackspire  100  4        0            4.2       5.3       0     14     100   0      0
druid     7      manor_blackspire  100  4        0            4.4       5.9       0     65     100   0      0
druid     12     manor_blackspire  100  5        4            5.1       6.8       75    82     25    0      0
fighter   3      manor_blackspire  100  4        0            4.5       5.4       0     17     100   0      0
fighter   7      manor_blackspire  100  4        4            4         6.2       17    100    83    0      0
fighter   12     manor_blackspire  100  4        4            4.6       7         100   100    0     0      0
mage      3      manor_blackspire  100  5        0            6.2       4.2       0     0      100   0      0
mage      7      manor_blackspire  100  6        6            6.6       6         4     32     96    0      0
mage      12     manor_blackspire  100  6        5            6.2       6.6       57    73     43    0      0
paladin   3      manor_blackspire  100  4        0            4.4       5.8       0     43     100   0      0
paladin   7      manor_blackspire  100  3        2            4.2       6.1       12    97     88    0      0
paladin   12     manor_blackspire  100  4        4            4.3       7         98    100    2     0      0
ranger    3      manor_blackspire  100  4        0            4.8       5.3       0     14     100   0      0
ranger    7      manor_blackspire  100  5        4            5.1       6.3       30    100    70    0      0
ranger    12     manor_blackspire  100  6        6            5.7       7         100   100    0     0      0
rogue     3      manor_blackspire  100  5        0            6.1       5.7       0     35     100   0      0
rogue     7      manor_blackspire  100  6        2            6.2       6         1     99     99    0      0
rogue     12     manor_blackspire  100  6        6            7         6.9       89    100    11    0      0
sorcerer  3      manor_blackspire  100  6        0            5.7       3.6       0     0      100   0      0
sorcerer  7      manor_blackspire  100  6        4            6.9       6         3     36     97    0      0
sorcerer  12     manor_blackspire  100  6        5            6         6.3       38    54     62    0      0
warlock   3      manor_blackspire  100  4        0            5.2       4.4       0     0      100   0      0
warlock   7      manor_blackspire  100  6        0            5.9       6         0     58     100   0      0
warlock   12     manor_blackspire  100  5        8            5.2       6.2       25    61     75    0      0
bard      3      underdark         100  0        0            0         0         0     0      0     0      0
